"Время, ГГГГ-ММ-ДД ЧЧ:ММ:СС","Температура, °C","Влажность, %","Осадки, мм","Скорость ветра, км/ч"
2026-03-10 00:00:00,9.1,95,0.0,8.3
2026-03-10 01:00:00,9.1,96,0.0,7.4
2026-03-10 02:00:00,9.1,96,0.0,7.3
2026-03-10 03:00:00,9.1,95,0.0,7.7
2026-03-10 04:00:00,9.1,95,0.0,7.1
2026-03-10 05:00:00,9.1,94,0.0,6.4
2026-03-10 06:00:00,9.1,94,0.0,6.0
2026-03-10 07:00:00,9.1,94,0.0,6.4
2026-03-10 08:00:00,9.2,91,0.0,7.8
2026-03-10 09:00:00,9.7,87,0.0,8.8
2026-03-10 10:00:00,10.4,80,0.1,9.9
2026-03-10 11:00:00,11.1,75,0.1,10.1
2026-03-10 12:00:00,11.4,71,0.0,11.0
2026-03-10 13:00:00,11.9,64,0.0,11.1
2026-03-10 14:00:00,12.0,60,0.0,12.9
2026-03-10 15:00:00,11.9,60,0.0,16.4
2026-03-10 16:00:00,11.1,64,0.0,17.9
2026-03-10 17:00:00,10.4,70,0.0,16.0
2026-03-10 18:00:00,9.5,78,0.0,15.2
2026-03-10 19:00:00,9.0,82,0.0,16.0
2026-03-10 20:00:00,8.9,85,0.0,16.8
2026-03-10 21:00:00,9.2,84,0.0,17.5
2026-03-10 22:00:00,9.9,82,0.2,18.9
2026-03-10 23:00:00,9.9,85,0.4,20.8
